title;url;content
황선홍호, U-23 아시안컵 예선 첫 경기서 카타르에 0-2패;https://www.joongang.co.kr/article/25190532;한국 22세 이하(U-22) 축구대표팀이 2024 파리올림픽 1차 예선 첫 경기에서 카타르에 완패했다.   홤선홍 감독이 이끄는 한국은 6일 경남 창원축구센터에서 열린 2024 아시아축구연맹(AFC) U-23 아시안컵 B조 1차전에서 0-2로 졌다. 이번 예선은 파리올림픽 아시아 최종 예선인 내년 AFC U-23 아시안컵 본선 진출팀을 가리는 대회다. 예선 11개 조의 각 조 1위 팀과 조 2위 가운데 상위 4개 팀 그리고 개최국 카타르까지 총 16개 팀이 U-23 아시안컵 본선에 진출한다. 대회는 2024년 4~5월에 열린다.   천만다행인 건 카타르가 U-23 아시안컵 개최국이라는 점이다. 이미 본선 진출을 확정했기 때문에 이날 경기는 친선경기로 간주했다. 조별리그 순위에는 영향을 주지 않는다. 이날 앞서 경기를 치른 미얀마와 키르기스스탄이 1-1로 비겨 나란히 승점 1로 B조 공동 선두로 나섰다. 황선홍호는 9일 키르기스스탄, 12일 미얀마와 차례로 격돌한다.   경기 초반부터 주도권을 쥔 한국은 카타르의 선제골에 무너졌다. 전반 38분 후방에서 길게 넘어온 패스를 카타르 최전방 공격수 아흐메드 알라위가 가슴으로 트래핑한 뒤 페널티 아크 오른쪽에서 과감한 오른발 중거리 슈팅으로 골망을 흔들었다. 한국은 후반 22분엔 실수로 추가 실점까지 허용했다. 카타르 압달라 시렐카팀의 스로인을 타밈 만수르 알압둘라가 페널티박스 오른쪽에서 백헤딩으로 받아낸 것이 골 지역에 떨어졌는데, 바운드 과정에서 백종범 골키퍼의 키를 넘어가면서 쐐기골이 됐다.피주영 기자 akapj@joongang.co.kr
정희균 테니스협회장 사임;https://www.joongang.co.kr/article/25190528;"배임 의혹을 받던 정희균 대한테니스협회 회장이 사임했다.   대한테니스협회는 정 회장이 6일 오후 서울 송파구 올림픽공원 테니스경기장 회의실에서 진행된 테니스협회 2023년도 제5차 이사회에서 사임서를 제출했다고 밝혔다. 정 회장은 ""협회가 풍전등화의 상황""이라면서 ""협회가 정상화되기 위해서는 내가 사임을 하는 것이 가장 첫 번째 수순이라고 판단해 결단을 내렸다""고 밝혔다. 정 회장의 임기는 2025년까지였다.   이로써 부회장 중 연장자순으로 회장 직무를 대행한다는 정관에 따라 예종석 부회장이 회장 직무대행을 맡게 됐다. 예 부회장은 ""문제를 해결하기 위해 최선의 노력을 다하겠다. 내일부터 출근해 상황을 파악하고 해결책을 찾아본 뒤 이른 시일 안에 다음 이사회를 소집하겠다""고 말했다. 궐위된 회장의 잔여임기가 1년 이상인 경우 60일 이내에 새 회장을 선출해야 한다는 규정에 따라 테니스협회는 차기 회장 선거를 준비할 예정이다.   테니스협회는 협회 명의로 된 모든 통장이 압류돼 행정이 사실상 마비된 상태다. 육군사관학교 테니스장 리모델링 사업과 관련해 주원홍 전 회장의 동생이 운영하는 미디어윌에 진 수십억 원의 빚을 갚지 못하면서다. 여기에 정 회장이 취임하면서 만든 한국주니어테니스육성후원회를 통해 협회 이름으로 맺은 여러 계약의 후원금과 국제 대회 광고 수익 일부를 받아 개인 돈처럼 사용했다는 배임 행위 의혹이 나왔다.   논란이 커지자 지난달 30일 열린 이사회 직후 정 회장은 직원 급여 지급, 자신의 배임 의혹에 대한 스포츠윤리센터 조사 등 문제가 해결되면 사임하겠다고 밝혔다.피주영 기자 akapj@joongang.co.kr"
승승승승승승승승승… 멈추지 않는 KIA, 9연승 질주;https://www.joongang.co.kr/article/25190527;누구도 멈춰세우지 못한다. 프로야구 KIA 타이거즈가 10년 만에 9연승을 질주했다.   KIA는 6일 서울 잠실구장에서 열린 두산 베어스와의 경기에서 7-1로 이겼다. KIA는 지난달 24일 수원 KT 위즈전을 시작으로 9연승을 이어갔다. KIA가 9연승을 기록한 건 2013년(6월 8일 넥센전~20일 한화전) 이후 처음이다. 타이거즈 창단 최다연승은 해태 시절 두 차례 기록한 12연승이다. KIA로 이름이 바뀐 뒤엔 11연승이 가장 길다.   9연승은 올 시즌 두 번째로 긴 연승이다. 두산 베어스가 11연승(7월 1일~12일)을 달렸고, 롯데 자이언츠(4월 20일~5월 2일)도 한 차례 9연승을 이어갔다.   8월 이후 팀 타율, 홈런 1위인 KIA 타선은 이날도 폭발했다. 국가대표 곽빈을 상대로 경기 초반부터 활화산같이 폭발했다. 3회 초 선두타자 박찬호가 2루타를 쳤고, 나성범이 두산 선발 곽빈의 커브를 받아쳐 우월 투런 홈런(시즌 15호)을 쳤다.   4회에도 추가점을 올렸다. 김태군의 몸맞는공, 최원준의 안타 이후 박찬호가 1타점 적시타를 날려 3-0을 만들었다. 이어 김도영이 좌측 파울폴 안쪽으로 들어온 홈런(시즌 4호)을 때렸다. 이후에도 나성범의 안타, 최형우의 2루타, 소크라테스 브리토의 적시타가 터져 7-0까지 달아났다.        마운드에선 선발 토마스 파노니가 역투를 펼쳤다. 파노니는 2회까지 탈삼진 5개를 잡으면서 두산 타자들의 기를 꺾었다. 공격적인 투구로 빠르게 스트라이크를 늘려가면서 쉽게 쉽게 아웃카운트를 잡았다. 6회까지 안타 3개만 내주며 무실점하고 시즌 4승을 따냈다. 시즌 평균자책점은 3.18에서 2.81로 낮아졌다.   수원에서 열린 1·2위 대결에선 LG 트윈스가 KT에 3-2로 이겼다. 이틀 연속 승리한 LG는 KT를 7.5경기 차로 벌리면서 선두 굳히기에 들어갔다. 케이시 켈리가 7이닝 2피안타 2볼넷 무실점하고 승리투수가 됐다. 시즌 9승(7패). KT는 선발 웨스 벤자민이 7이닝 1실점 역투했으나, 최근 5연패의 부진에 빠졌다.   두 팀은 5회까지 0-0으로 맞섰다. 결승타 1위(13개)에 빛나는 4번타자 오스틴 딘이 해결사로 나섰다. 6회 1사 1, 3루에서 결승 희생플라이를 쳤다. 8회엔 김현수가 1타점 적시타, 9회엔 홍창기가 1타점 2루타를 때렸다. KT는 9회 LG 마무리 고우석 상대로 2점을 뽑았지만, 뒤집기엔 실패했다.        수원에서 열린 1·2위 대결에선 9회 말 2사 이후 4점을 뽑아낸 KT가 4-3 역전승을 거뒀다. 2위 KT는 4연패에서 벗어나면서 LG와의 게임 차를 5.5경기 차로 좁혔다.   LG는 오스틴 딘이 6회 1사 1, 3루에서 선제 희생플라이를 쳤다. 8회엔 김현수가 1타점 적시타, 9회엔 홍창기가 1타점 2루타를 때렸다. 하지만 9회 KT가 LG 마무리 고우석 공략에 성공했다. 대타 문상철의 2루타를 시작으로 2-3까지 따라붙었다. 1사 만루에서 김민혁이 1루 땅볼로 물러났으나, 황재균이 친 땅볼을 LG 3루수 문보경이 놓치면서 끝내기 승리를 따냈다.   SSG 랜더스 최정은 6일 대전에서 열린 한화와의 경기에 3번 3루수로 선발 출전해 2득점을 추가하며 개인 통산 1357득점을 달성, 이승엽 두산 감독의 종전 기록(1355점)을 넘어섰다. 그러나 팀은 6-7 역전패를 당했다.김효경 기자 kaypubb@joongang.co.kr
"아직도 승리 없다…'재택근무 논란' 클린스만 ""차두리가 와칭""";https://www.joongang.co.kr/article/25190453;"'재택근무 논란'에 휩싸인 위르겐 클린스만(59·독일) 한국 축구대표팀 감독이 부임 후 첫 승을 거두고 부정적 여론을 털어낼까.   클린스만호는 8일 오전 3시45분(한국시간) 영국 웨일스의 카디프시티 스타디움에서 웨일스와 국가대항전(A매치) 평가전을 치른다. 웨일스전은 한국의 9월 유럽 원정 A매치 2연전의 첫 경기다. 클린스만호는 웨일스와 대결을 이틀 앞두고 처음으로 '완전체' 훈련을 했다. 대한축구협회가 6일 공개한 대표팀 영상에는 25명의 선수가 모두 모여 카디프 인터내셔널 스포츠 캠퍼스에서 웨일스 대비 훈련에 돌입했다. 웨일스는 국제축구연맹(FIFA) 랭킹 35위로 한국(28위)보다 낮다. 상대 전적에서는 2003년 한 번 만나 0-0으로 비겼다. 한국은 13일 오전 1시30분에 영국 뉴캐슬의 세인트 제임스파크에서 사우디아라비아와 한 차례 더 맞붙는다.        웨일스전이 주목받는 이유는 지난 2월 한국 지휘봉을 잡은 클린스만 감독이 아직도 마수걸이 승을 거두지 못했기 때문이다. 클린스만호는 3월 2연전(우루과이 1-2 패·콜롬비아 2-2 무)과 6월 2연전(엘살바도르 1-1 무·페루 0-1 패)까지 4차례 경기에서 2무2패에 그쳤다. 역대 한국 축구 대표팀 외국인 사령탑 가운데 부임 후 네 경기까지 승리가 없는 건 클린스만이 유일하다.   시원한 승리로 지도력을 입증하지 못한 가운데 클린스만 감독의 '재택근무 논란'까지 터졌다. 부임 당시 '국내에 상주하겠다'고 밝힌 그는 실제로는 주로 미국과 유럽에서 지냈다. 현지에서 방송 출연과 행사 참여 등 대표팀 감독 업무와 무관한 일도 여러 차례 했다. ""한국 대표팀 감독 자리를 가볍게 여기는 것 아니냐""는 비판을 받고 있다. 클린스만 감독은 '원격 근무' 방식으로 열심히 일하는 데다, 해외에서도 자신이 할 일이 있는 것뿐이라고 해명했다. 그러면서 ""K리그 등 한국 상황은 마이클 김 코치와 차두리 어드바이저가 지속해서 관찰하고 있다""고 주장했다. 그러나 마이클 김 코치는 최근 대표팀을 떠났다. 대신 차두리 어드바이저가 코치를 맡았다.        클린스만 감독 입장에선 웨일스를 꺾고 부정적 여론을 잠재우고 본연의 임무에 충실했다는 것을 인정받는 게 급선무다. 부상 중이던 유럽파 골잡이들의 부활은 웨일스전을 준비하는 클린스만 감독에게 반가운 소식이다. 황희찬(울버햄프턴), 조규성(미트윌란), 오현규(셀틱) 등 부상을 당한 유럽파 선수들이 9월 A매치 소집 명단에 오르자 비판이 잇따랐다. 당시 이들은 부상 중이었기 때문이다. ""K리그에서 새 선수를 발굴하지 못해 무리해서 유럽파 공격수를 뽑았다""는 비판이 나왔다. 이에 대해 클린스만 감독은 ""소속팀과 면밀히 소통해 몸 상태를 체크한 끝에 문제가 없다고 판단해 차출했다""고 설명했다.   이 부분은 클린스만 감독의 판단이 적중했다. 지난달 말 고질적인 부상 부위인 허벅지 뒤쪽을 다친 황희찬은 일주일 만인 지난 3일 크리스털 팰리스전에 복귀해 시즌 2호 득점포를 가동하며 우려를 불식했다. 올여름 덴마크 무대로 진출해 활약 중인 조규성도 지난달 21일 리그 경기 도중 절뚝이는 모습을 보이며 교체됐지만, 열흘 만에 치른 복귀전에서 풀타임을 소화했다. 지난 4일 오르후스전에는 어시스트까지 기록했다. 프리시즌 마지막 경기에서 종아리를 다친 오현규도 최대 6주간 치료해야 한다는 진단을 받았으나 지난 3일 레인저스전을 통해 그라운드로 복귀했다. 여기에 대표팀 '캡틴'인 손흥민은 소속팀 토트넘의 주장으로 임명된 데 이어 지난 2일 번리전에는 해트트릭을 폭발하며 절정의 골 감각을 보였다."
높았던 탁구 만리장성…남자 단체전, 아시아선수권 동메달;https://www.joongang.co.kr/article/25190438;한국 남자 탁구가 ‘만리장성’ 중국의 벽을 넘지 못했다.   한국은 5일 강원도 평창돔에서 열린 평창아시아탁구선수권 남자 단체전 중국과의 준결승전에서 매치 스코어 0-3으로 졌다. 이로써 결승행 티켓을 따내지 못하고 3위로 단체전 경기를 마무리했다. 이 대회는 3·4위전을 따로 치르지 않는다.   코로나19 여파로 중국이 불참했던 2021년 도하 대회에서 정상을 밟았던 한국은 장우진과 임종훈, 안재현이 단식 주자로 나섰다. 그러나 왕추친과 판전둥, 마룽으로 짜인 중국의 높은 벽을 넘지 못했다. 한국이 아시아선수권에서 준결승 탈락 고배를 마신 적은 2015년 대회 이후 이번이 8년 만이다.   한국은 전날 여자 단체전에서도 중국과의 결승전에서 0-3으로 패해 은메달을 획득했다. 신유빈과 전지희, 양하은이 차례로 출전했지만, 중국 쑨잉사와 천멍, 왕이디를 상대로 한 게임도 따내지 못했다.   한국은 장우진이 1단식 주자로 먼저 출전했다. 상대는 왕추친. 1게임을 7-11로 내준 뒤 2게임을 11-9로 잡았지만, 나머지 2~3게임에서 모두 져 1단식을 내줬다. 판전둥과 맞붙은 임종훈은 더욱 아쉬웠다. 1게임에서 패한 뒤 2게임과 3게임을 각각 11-3과 11-8로 가져왔다. 그러나 남은 2게임을 모두 내줘 고개를 숙였다.   분위기가 가라앉은 한국은 3단식에서 안재현이 마룽에게 0-3으로 져 경기를 마무리했다.   중국은 인도를 3-0으로 꺾고 올라온 대만과 이날 오후 7시부터 결승전을 치른다.   한국은 대회 닷새째인 7일 남자 복식 32강과 16강, 혼합 복식 준결승, 남자 개인전 128강과 64강, 여자 개인전 64강을 치른다.고봉준 기자 ko.bongjun@joongang.co.kr
'연봉 760억' 메시, 베트남 가수 뮤직비디오에 등장…출연료는;https://www.joongang.co.kr/article/25190430;"베트남 인기 가수의 뮤직비디오에 '축구의 신' 리오넬 메시(36·인터 마이애미)가 깜짝 등장했다.   6일 베트남 VN익스프레스에 따르면 올해 26세 가수 잭(Jack)이 최근 선보인 '내가 태어난 곳으로부터'(Tu Noi Toi Sinh Ra) 뮤직비디오에 메시가 약 10초간 등장한다.   수퍼스타 메시가 자국 아르헨티나도 아닌 베트남 가수의 뮤직비디오에 출연하면서 그의 출연료에 관심이 쏠린다. 메시가 현재 마이애미에서 받는 연봉만 5000만~6000만 달러(약 630억~760억원·추정치)로 알려졌다.   일각에선 메시의 거액 연봉을 고려해 출연료로 600억 동(약 33억원)을 받았을 것이라는 추측이 나왔다. 이에 대해 잭의 변호인 레 떤 신은 ""일부 조직과 개인들이 허위 정보를 퍼뜨리고 있는데 이는 비방·명예 훼손에 해당한다""고 대응에 나섰다.   한때 축구 선수를 지망했던 잭은 지인의 주선으로 프랑스에서 자신이 어릴 적부터 동경하던 메시를 만났다고 밝혔다. 또 자신의 신곡 뮤직비디오에 함께 있는 장면을 삽입해도 되는지 물어보자 메시는 종교나 정치적으로 논란이 되거나 상업적으로 활용하지 않으면 가능하다고 답했다고 전했다.피주영 기자 akapj@joongang.co.kr"
오리온, 레슬링 국가대표 공식 후원;https://www.joongang.co.kr/article/25190418;"식품 브랜드 오리온이 레슬링 국가대표 선수단을 후원한다.   대한레슬링협회는 지난 5일 서울 용산구 오리온 본사 사옥에서 레슬링 국가대표 선수 공식 후원 협약식을 열었다. 오리온은 항저우 아시안게임 선전을 위해 국가대표 선수단에 손을 내밀어다. 이번 협약을 통해 대한레슬링협회는 닥터유를 '레슬링 국가대표 공식 후원 브랜드'로 지정했다.   오리온은 앞으로 1년간 '닥터유 제주용암수' 10만 병과 '닥터유PRO 단백질바' 1만개 등 1억 4000만 원 상당의 제품을 후원할 예정이다. 이와 함께 향후 신제품 개발시 선수들이 직접 참여하는 등 긴밀히 협력하기로 합의했다.   협약 체결식에는 조해상 대한레슬링협회 회장과 이승준 오리온 대표이사가 참석했다. 2012 런던올림픽 그레고로만형 77㎏ 금메달리스트 김현우와 2014·18 아시안게임 동메달리스트이자 레슬링 인플루언서인 남경진도 자리했다.   국가대표 김현우는 ""최근 레슬링 선수들이 운동 후 효과적인 컨디션 회복과 계체 이후 수분 보충을 위해 수분과 단백질 섭취에 신경을 많이 쓰고 있다. 닥터유 제품들이 선수들의 컨디션 회복에 큰 도움을 줄 수 있을 것이라 생각한다. 후원받게 되어 정말 기쁘다. 열심히 연습해 다가오는 2022 항저우 아시안게임에서 좋은 성적으로 보답하겠다""고 말했다.   오리온 관계자는 ""미네랄과 단백질을 강화한 제품들이 레슬링 국가대표 선수들의 경기력 향상에 도움을 줄 수 있다고 판단해 이번 후원에 나섰다. 앞으로 국제대회에서 선수들이 최상의 기량을 발휘하길 바란다""고 전했다.김효경 기자 kaypubb@joongang.co.kr"
이강인 “악, 죽음의 조!”…팬들은 천국이 따로 없다;https://www.joongang.co.kr/article/25190417;이른바 ‘죽음의 조’는 각종 국제대회에서 자칫 밋밋하게 느껴지기 쉬운 초반 승부의 긴장감을 높여 주는 역할을 합니다. 우승후보로 주목 받던 팀이 조별리그에서 이변의 희생양이 돼 탈락하는 장면은 팬들에게 색다른 카타르시스를 선사합니다.  한국 축구 또한 세계무대에 도전하는 과정에서 여러 번 ‘죽음의 조’ 딜레마를 겪었습니다. 강자들의 틈바구니에 갇혀서, 또는 실력이 엇비슷한 팀들과의 경쟁에서 밀려 탈락의 쓴잔을 든 경험이 적지 않습니다.  유럽 챔피언스리그 본선에 나선 이강인의 소속팀 파리생제르맹이 조별리그부터 유럽 축구의 내로라하는 강자들과 함께 묶이며 또다시 주목 받게 된 키워드 ‘죽음의 조’. 축구박사 한준희 해설위원과 함께 들여다봅니다.  “이보다 더 강력한 ‘죽음의 조(Group of Death)’가 나올 수 있을까?” 올 시즌 UEFA(유럽축구연맹) 챔피언스리그 조 편성이 이뤄졌을 때, 조별리그 F조의 결과를 접한 대다수 사람이 외친 한마디다. 유럽 최정상 32개 클럽이 참여하는 챔피언스리그 본선 F조에 프랑스 최강 파리 생제르맹을 필두로 독일 분데스리가 명문 보루시아 도르트문트, 이탈리아 세리에A 강호 AC 밀란, 잉글랜드 프리미어리그의 신흥 강자 뉴캐슬 유나이티드가 함께 묶인 까닭이다.   필자 역시 이 조가 챔피언스리그 역사를 통틀어서도 이른바 ‘역대 레벨’의 죽음의 조임을 인정한다. 이강인의 소속 클럽으로 관심이 높아진 파리 생제르맹은 현재 세계에서 가장 값나가는 선수인 킬리안 음바페를 비롯해 랑달 콜로 무아니, 우스만 뎀벨레, 잔루이지 돈나룸마 등 초호화 멤버로 무장한 팀이지만, 챔피언스리그에서 기대 이하의 결과물을 낳았던 역사가 적지 않다는 점은 다소간 불안 요소다.        이들과 맞서게 될 도르트문트는 지난 시즌 마지막 날까지 분데스리가 우승을 두고 바이에른 뮌헨과 자웅을 겨뤘던 전통의 강호이고, AC 밀란은 몇 해 전까지 챔피언스리그 출전을 못했던 시절이 있어 3시드로 밀리긴 했으나 챔피언스리그 7회 우승에 빛나는 유럽축구의 명가다. 여기에 사우디아라비아 자본으로 무장하고서 21년 만에 챔피언스리그로 돌아온 뉴캐슬이 합류했다. 뉴캐슬은 지난 시즌 잉글랜드 프리미어리그에서 리버풀, 토트넘, 첼시를 모두 따돌리는 기염을 토했다.   근본적으로 이 조는 3시드, 4시드에서 각각 최고 전력으로 평가받는 밀란과 뉴캐슬이 포함되는 한편, 상대적으로 파리 생제르맹과 도르트문트가 1시드, 2시드에서 최강으로 여겨지는 팀들은 아닌 까닭에 ‘죽음의 조’ 구성 요건을 완벽하게 갖추게 됐다.   이렇듯 큰 대회(비단 축구뿐이 아니다) 조 추첨이 끝나고 나면 항상 지면을 장식하곤 하는 ‘죽음의 조’라는 표현은 언제부터 널리 쓰이게 됐을까? 정밀한 기원이 공식화된 것은 아니지만 ‘죽음의 조’ 표현이 대중적으로 퍼져나간 단초를 제공한 대회는 1986년 멕시코 월드컵이다.
조코비치, US오픈 4강 진출…페더러 제치고 메이저 47번째 준결승 신기록;https://www.joongang.co.kr/article/25190363;"노박 조코비치(세계랭킹 2위·세르비아)가 올해 마지막 메이저 대회인 US오픈 테니스 대회 4강에 진출했다.   조코비치는 5일(한국시간) 미국 뉴욕의 빌리진킹 내셔널 테니스 센터에서 열린 대회 남자 단식 8강전에서 자신보다 10살 어린 테일러 프리츠(세계 9위·미국)를 3-0(6-1 6-4 6-4)으로 물리쳤다. 낮 경기로 진행된 조코비치와 프리츠의 8강전은 기온이 32도 이상 오르는 더운 날씨 속에 치러졌다. 조코비치는 한때 더위에 고전해 현기증을 느끼는 듯한 모습을 보이기도 했지만, 노련미로 극복했다. 조코비치는 4강에서 프랜시스 티아포(세계 10위)-벤 셸턴(세계 47위·이상 미국) 경기 승자를 상대한다.   이로써 조코비치는 메이저 대회에서 통산 47번째 준결승에 진출했다. '테니스 황제' 로저 페더러(은퇴·스위스)가 갖고 있던 메이저 대회 남자 단식 최다 4강 진출 기록(46회)을 뛰어넘은 신기록이다. 조코비치는 메이저 대회 남자 단식 최다 우승 기록(23회)도 보유 중이다. 결승 진출 역시 35회로 1위다. 메이저 대회 남자 단식 우승 2위는 22회의 라파엘 나달(세계 139위·스페인)이다. 결승 진출 2위 기록은 31회의 페더러다. 조코비치는 이번 대회 결과와 관계없이 다음 주 발표되는 세계랭킹에서 1위에 복귀한다.   조코비치는 또 US오픈 8강 성적 13전 전승, 프리츠 상대 전적 8전 전승 행진도 이어갔다. 미국 선수를 상대로도 30연승을 달성했다. 조코비치가 미국 선수에게 패한 건 2016년 윔블던 3회전에서 샘 퀘리에게 진 게 마지막이다. 4강에서 또 미국 선수와 맞붙는 조코비치는 ""이 경기장의 좋은 에너지를 통해 내 경기력을 잘 발휘할 수 있었다""며 ""이 코트에서 기억에 남을 경기를 여러 차례 해왔는데, 다음 경기도 빨리 치르고 싶다""고 말했다.   올해 호주오픈과 프랑스오픈에서 우승하고, 윔블던에서 준우승한 조코비치는 US오픈에서는 2018년 이후 5년 만에 우승에 도전한다. 조코비치는 지난해 US오픈에는 신종 코로나바이러스 감염증(코로나19) 백신 접종 문제 때문에 출전하지 못했다. 그는 코로나 백신을 맞지 않았는데, 미국 방역 당국이 백신 미접종 외국인의 입국을 불허하면서 2022 US오픈에 출전하지 못했다.   그러다 미국 방역 당국이 지난 5월 코로나 백신 접종을 받지 않은 외국인도 입국할 수 있도록 방역 방침을 완화하면서 올해 대회 나서게 됐다. 조코비치가 이 대회 결승에 진출하면 2021년 이후 2년 만에 4대 메이저 대회 결승에 모두 오르게 된다. 2021년에는 호주오픈, 프랑스오픈, 윔블던을 차례로 제패했고 US오픈은 결승에서 패했다.피주영 기자 akapj@joongang.co.kr"
해트트릭 폭발한 손흥민, EPL 파워랭킹 1위 등극…홀란도 제쳤다;https://www.joongang.co.kr/article/25190358;"시즌 첫 해트트릭을 터뜨린 토트넘의 '캡틴' 손흥민이 영국 데일리 메일이 발표한 잉글랜드 프로축구 프리미어리그(EPL) '파워랭킹' 정상을 차지했다.   데일리 메일이 5일(한국시간) 공개한 EPL 4주차 파워랭킹에서 손흥민은 팀 동료 제임스 매디슨과 '괴물 스트라이커' 엘링 홀란(맨체스터 시티) 등 쟁쟁한 경쟁자를 제치고 1위에 올랐다. 데일리 메일은 ""개막 후 3경기까지는 득점하지 못했으나 번리전 해트트릭으로 손흥민이 가진 득점 능력을 보여줬다""고 평가했다. 그러면서 ""손흥민은 엔지 포스테코글루 감독 체제에서 (공격 축구에 적합한) 측면 압박을 주도했고, 필요할 때 날카로운 공격까지 보여줬다""고 덧붙였다.   손흥민은 지난 2일 번리와의 2023~24시즌 4라운드 원정경기에서 올 시즌 처음으로 원톱 스트라이커로 선발 출전했다. 전반 16분 절묘한 칩샷으로 시즌 첫 골을 터뜨린 손흥민은 후반 18, 21분(시즌 2, 3호골) 잇따라 골을 추가해 해트트릭을 작성했다. 토트넘은 5-2 대승을 거뒀다. 손흥민이 한 경기에 3골을 넣은 건 지난해 9월 17일 2022~23시즌 레스터시티전 이후 1년 만이다. 손흥민은 경기 최우수선수(MOM)에 뽑혔다. 영국 풋볼런던은 손흥민에게 평점 10점 만점을 줬다. 이밖에도 영국 BBC, EPL 사무국이 선정한 라운드 베스트11에도 연이어 이름을 올렸다.   풋볼 런던은 ""손흥민은 매우 효과적으로 중심 역할을 수행했다. 포스테코글루 감독의 시스템(공격 축구)이 완벽하게 작동했다""고 평했다. 엔지 포스테코글루 토트넘 감독은 ""오늘은 손흥민이 (능력을) 증명하는 경기였다""면서 ""손흥민은 중앙과 측면에서 모두 뛸 수 있는 능력을 갖췄다. 우리의 전술에서 그는 이상적""이라고 칭찬했다.   파워랭킹 2, 3위는 손흥민과 같은 날 해트트릭을 폭발한 홀란과 에번 퍼거슨(브라이턴 앤드 호브 앨비언)이었다. 세 선수는 1995년 9월 로비 파울러·앨런 시어러·토니 예보아 이후 28년 만에 처음으로 EPL에서 같은 날 해트트릭을 작성했다. 홀란은 풀럼, 퍼거슨은 뉴캐슬 유나이티드와 홈 경기에서 나란히 3골씩 터뜨렸다. 브라이턴의 일본인 선수 미토마 가오루는 7위에 선정됐다.피주영 기자 akapj@joongang.co.kr"
