oid;aid;title;subContent;thumbnail;dateTime;content
056;0011566597;고성 삼포해변 서핑 축제 ‘취소’;[KBS 강릉]모레(16일)부터 이틀간 고성 삼포해변에서 열릴 예정이던 서핑 축제인 '2023 미드나잇 피크닉 페스티벌'이 기상 악화 등으로 취소됐습니다.고성군은 축제 당일 비 예보가 있는 데다, 해상에 높은 파고가 예상되면서 안전사고 발생 우려가 있어 축제를 취소한다고 설명했습니다.기상청은 축제 예정인 16일과 17일,...;https://imgnews.pstatic.net/image/thumb154/056/2023/09/14/11566597.jpg;2023-09-14T23:57:02;[KBS 강릉]모레(16일)부터 이틀간 고성 삼포해변에서 열릴 예정이던 서핑 축제인 '2023 미드나잇 피크닉 페스티벌'이 기상 악화 등으로 취소됐습니다.고성군은 축제 당일 비 예보가 있는 데다, 해상에 높은 파고가 예상되면서 안전사고 발생 우려가 있어 축제를 취소한다고 설명했습니다.기상청은 축제 예정인 16일과 17일, 강원 북부 앞바다에 최대 2m의 파도가 칠 것으로 내다봤습니다.
425;0000143860;김무호, 추석장사씨름대회 한라장사 등극;한라장사 김무호 / 사진[대한씨름협회 제공) 김무호(울주군청)가 2023 추석장사씨름대회에서 한라장사에 올랐다. 14일 경기 수원체육관에서 열린 대회 한라장사(105㎏ 이하) 결정전에서 김무호는 이승욱과 대결을 펼쳐 3-0으로 승리했다. 이로써 김무호는 개인 통산 3번째 한라장사에 등극했다. 김무호는 우승 후보로 꼽힌 차...;https://imgnews.pstatic.net/image/thumb154/425/2023/09/14/143860.jpg;2023-09-14T23:56:01;한라장사 김무호 / 사진[대한씨름협회 제공)  김무호(울주군청)가 2023 추석장사씨름대회에서 한라장사에 올랐다.     14일 경기 수원체육관에서 열린 대회 한라장사(105㎏ 이하) 결정전에서 김무호는 이승욱과 대결을 펼쳐 3-0으로 승리했다.      이로써 김무호는 개인 통산 3번째 한라장사에 등극했다.      김무호는 우승 후보로 꼽힌 차민수와 8강전이 최대 고비였다. 이 경기서 첫판을 내준 김무호는 연속 밀어치기로 역전승을 거두고 4강에 올랐다.      4강전에서는 오창록(MG새마을금고씨름단)과 대결을 펼쳤다. 빗장걸이로 첫판을 내준 김무호는 연속 들배지기로 역전승을 거두고 한라장사 결정전에 진출했다.
056;0011566595;제26회 강원특별자치도 농아인 체육대회 강릉 개최;[KBS 강릉]제26회 강원특별자치도 농아인 체육대회가 오늘(14일)과 내일 이틀 동안 강릉시 강남체육관 등지에서 열립니다.이번 대회에는 강원도 내 18개 시·군의 농아인 400여 명이 참가해, 배드민턴과 볼링, 육상 등 6개 종목에서 기량을 겨루게 됩니다.;https://imgnews.pstatic.net/image/thumb154/056/2023/09/14/11566595.jpg;2023-09-14T23:54:33;[KBS 강릉]제26회 강원특별자치도 농아인 체육대회가 오늘(14일)과 내일 이틀 동안 강릉시 강남체육관 등지에서 열립니다.이번 대회에는 강원도 내 18개 시·군의 농아인 400여 명이 참가해, 배드민턴과 볼링, 육상 등 6개 종목에서 기량을 겨루게 됩니다.
055;0001089885;피겨 임주헌, 주니어 GP 4차 대회 쇼트 '깜짝 1위';피겨스케이팅 유망주 임주헌 선수가 국제빙상연맹(ISU) 주관 대회 데뷔전에서 깜짝 1위에 올라 메달을 바라보게 됐습니다.임주헌은 일본 오사카에서 열린 2023 ISU 피겨 주니어 그랑프리 4차 대회 남자 싱글 쇼트프로그램에서 75.38점을 받아 25명의 출전 선수 중 1위에 올랐습니다.2위인 일본의 나카무라 스케(74.0...;https://imgnews.pstatic.net/image/thumb154/055/2023/09/14/1089885.jpg;2023-09-14T23:03:01;피겨스케이팅 유망주 임주헌 선수가 국제빙상연맹(ISU) 주관 대회 데뷔전에서 깜짝 1위에 올라 메달을 바라보게 됐습니다.임주헌은 일본 오사카에서 열린 2023 ISU 피겨 주니어 그랑프리 4차 대회 남자 싱글 쇼트프로그램에서 75.38점을 받아 25명의 출전 선수 중 1위에 올랐습니다.2위인 일본의 나카무라 스케(74.04점)를 1.34점 차로 제쳤습니다.임주헌은 첫 번째 연기 과제인 트리플 악셀에서 회전수를 완벽히 채워 가산점(GOE) 1.83점을 챙기고 기분 좋게 시작했습니다.이어 트리플 플립-트리플 토루프 콤비네이션 점프에서는 어텐션(에지 사용주의)이 떴지만 GOE 0.15점을 받아냈습니다.체인지 풋 싯 스핀과 플라잉 싯 스핀에서는 최고 난도인 레벨 4를 받았습니다.임주헌은 가산점 10％가 붙는 후반부 첫 과제인 트리플 러츠에서는 착지가 흔들리며 1.26점이 깎였지만 스텝 시퀀스를 레벨 3으로 처리했습니다.마지막 과제인 체인지 풋 콤비네이션 스핀에서 최고 난도인 레벨 4를 받아 GOE 0.9점을 더한 임주헌은 ISU 무대 데뷔전을 무사히 마쳤습니다.함께 출전한 이재근(수리고)은 TES 33.72점, PCS 33.04점, 감점 1을 합쳐 65.76점을 받아 7위에 올랐습니다.이재근과 임주헌은 15일에 열리는 남자 싱글 프리스케이팅에 출전해 입상을 노립니다.(사진=ISU 소셜미디어 캡처, 연합뉴스)
001;0014194426;피겨 임주헌, 주니어 GP 4차 대회 쇼트 '깜짝 1위'(종합);이재근은 7위…15일 프리스케이팅서 메달 도전김지니-이나무 조는 리듬댄스 9위…파이널 먹구름쇼트 1위 임주헌[ISU 소셜미디어 캡처. 재판매 및 DB 금지] (서울=연합뉴스) 설하은 기자 = 피겨스케이팅 유망주 임주헌(수리고)이 국제빙상연맹(ISU) 주관 대회 데뷔전에서 깜짝 1위에 올라 메달을 바라보게 됐다. 임주헌은...;https://imgnews.pstatic.net/image/thumb154/001/2023/09/14/14194426.jpg;2023-09-14T22:34:14;이재근은 7위…15일 프리스케이팅서 메달 도전김지니-이나무 조는 리듬댄스 9위…파이널 먹구름쇼트 1위 임주헌[ISU 소셜미디어 캡처. 재판매 및 DB 금지]    (서울=연합뉴스) 설하은 기자 = 피겨스케이팅 유망주 임주헌(수리고)이 국제빙상연맹(ISU) 주관 대회 데뷔전에서 깜짝 1위에 올라 메달을 바라보게 됐다.    임주헌은 14일 일본 오사카에서 열린 2023 ISU 피겨 주니어 그랑프리 4차 대회 남자 싱글 쇼트프로그램에서 기술점수(TES) 39.82점에 예술점수(PCS) 35.56점을 합쳐 75.38점을 받아 25명의 출전 선수 중 1위에 올랐다.     2위인 일본의 나카무라 슌스케(74.04점)를 1.34점 차로 제쳤다.    임주헌은 첫 번째 연기 과제인 트리플 악셀에서 회전수를 완벽히 채워 가산점(GOE) 1.83점을 챙기고 기분 좋게 시작했다.    이어 트리플 플립-트리플 토루프 콤비네이션 점프에서는 어텐션(에지 사용주의)이 떴지만 GOE 0.15점을 받아냈다.    체인지 풋 싯 스핀과 플라잉 싯 스핀에서는 최고 난도인 레벨 4를 받았다.    임주헌은 가산점 10％가 붙는 후반부 첫 과제인 트리플 러츠에서는 착지가 흔들리며 1.26점이 깎였지만 스텝 시퀀스를 레벨 3으로 처리했다.    마지막 과제인 체인지 풋 콤비네이션 스핀에서 최고 난도인 레벨 4를 받아 GOE 0.9점을 더한 임주헌은 ISU 무대 데뷔전을 무사히 마쳤다.    함께 출전한 이재근(수리고)은 TES 33.72점, PCS 33.04점, 감점 1을 합쳐 65.76점을 받아 7위에 올랐다.    이재근과 임주헌은 15일에 열리는 남자 싱글 프리스케이팅에 출전해 입상을 노린다.연기 펼치는 아이스댄스 김지니(오른쪽)-이나무 조아이스댄스 유망주 김지니-이나무 조가 8월 25일(한국시간) 태국 방콕에서 열린 2023 국제빙상경기연맹(ISU) 피겨 주니어 그랑프리 1차 대회 아이스 댄스 리듬 댄스에서 역동적인 연기를 펼치고 있다. [ISU 소셜미디어 캡처. 재배포 및 DB 금지]    한편 앞서 경기를 치른 아이스댄스 기대주 김지니-이나무(이상 경기도빙상경기연맹) 조는 리듬댄스에서 9위에 그쳐 주니어 그랑프리 파이널 진출이 어려워졌다.    두 선수는 TES 26.27점, PCS 22.28점, 합계 48.55점을 받아 9위에 올랐다.    김지니-이나무 조는 지난 8월 주니어 그랑프리 1차 대회에서 받은 리듬 댄스 개인 최고점(56.30점)에 비해 10점 가까이 낮은 점수를 받았다.     1차 대회에서 3위에 올랐던 두 선수는 오는 12월 중국 베이징에서 열리는 그랑프리 파이널 진출을 노렸지만, 이 계획에 먹구름이 꼈다.    김지니-이나무 조는 16일 프리댄스에 나선다.    soruha@yna.co.kr
109;0004927184;7년 침묵 깼다.. 한솔, 女최다승 최현숙 꺾고 '통산 8승'.. 남자부는 박근우 우승;[사진]한국프로볼링협회 제공[OSEN=강필주 기자]한솔(36, 로드필드)이 7년 만의 침묵에서 깨어났다.한솔은 14일 경기도 화성시 마인드볼링장에서 열린 제25회 DSD삼호컵 프로볼링대회 여자부 결승에서 통산 13승에 도전하던 최현숙(피앤비우창)을 215-200으로 제압했다.이로써 톱 시드로 TV 파이널 결승 무대에 직행...;https://imgnews.pstatic.net/image/thumb154/109/2023/09/14/4927184.jpg;2023-09-14T22:26:09;[사진]한국프로볼링협회 제공[OSEN=강필주 기자]한솔(36, 로드필드)이 7년 만의 침묵에서 깨어났다.한솔은 14일 경기도 화성시 마인드볼링장에서 열린 제25회 DSD삼호컵 프로볼링대회 여자부 결승에서 통산 13승에 도전하던 최현숙(피앤비우창)을 215-200으로 제압했다.이로써 톱 시드로 TV 파이널 결승 무대에 직행한 한솔은 지난 2016년 원주투어 이후 7년 만에 정상에 섰다. 더구나 여자 최다승(12승)을 보유한 최현숙을 꺾으면서 확실하게 부활하는 모습을 각인시켰다. 준결승 3위로 파이널에 오른 최현숙은 임가혜(에보나이트)를 268-197로 꺾고 한솔과 만났다. 최현숙은 4연속 스트라이크로 기선 제압에 나섰으나 두 번의 스플릿으로 한솔에 우승을 내줬다. 남자부에서는 2022시즌 MVP에 올랐던 박근우(33, MK)가 정상에 섰다. 박근우는 남자부 결승에서 이도헌(디브이8)를 249-195로 꺾고 개인 통산 4승을 거머쥐었다. /letmeout@osen.co.kr
469;0000760643;최성용 대한역도연맹 회장, 동아시아역도연맹 회장 재선;최성용(첫 줄 가운데) 대한역도연맹 회장이 13일(현지시간) 사우디아라비아 리야드에서 열린 2023 동아시아역도연맹 임원선출 총회에서 제2대 회장에 오른 뒤 기념 촬영을 하고 있다.[대한역도연맹 제공최성용 대한역도연맹회장이 재선에 성공했다.대한역도연맹은 지난 13일 사우디아라비아 리야드에서 열린 2023 동아시아역도연맹...;https://imgnews.pstatic.net/image/thumb154/469/2023/09/14/760643.jpg;2023-09-14T22:26:07;최성용(첫 줄 가운데) 대한역도연맹 회장이 13일(현지시간) 사우디아라비아 리야드에서 열린 2023 동아시아역도연맹 임원선출 총회에서 제2대 회장에 오른 뒤 기념 촬영을 하고 있다.[대한역도연맹 제공최성용 대한역도연맹회장이 재선에 성공했다.대한역도연맹은 지난 13일 사우디아라비아 리야드에서 열린 2023 동아시아역도연맹 임원 선출 총회에서 최성용 회장이 제2대 회장으로 추대됐다고 14일 밝혔다.동아시아역대연맹 회원국(한국, 중국, 북한, 일본, 대만, 홍콩, 마카오, 몽골) 중 대만과 북한이 불참한 이번 총회에서 참가 6개국이 모두 최 회장의 재선을 지지하며 제2대 회장으로 추대됐다. 2015년 11월 초대 회장에 오른 최 회장은 이로써 한 차례 더 동아시아역도연맹을 이끌게 됐다.아울러 이날 총회에서는 제2회 동아시아역도대회를 내년 9월 충남 서천에서 여는 것에 합의했다.
056;0011566548;용선 남북 단일팀 출신, 카누 국가대표 이예린의 꿈!;[앵커] 지난 자카르타 아시안게임에 용선 남북 단일팀으로 출전해 금메달과 동메달을 목에 걸었던 이예린, 이번 항저우 아시안게임에선 유일한 여자 카누 국가대표로 나서는데요. 또 한 번의 새로운 도전을 선택한 이예린을 허솔지 기자가 만나봤습니다. [리포트] 12인승 카누 용선 남북 단일팀의 배가 가장 먼저 결승선을 통과합니다...;https://imgnews.pstatic.net/image/thumb154/056/2023/09/14/11566548.jpg;2023-09-14T21:58:36;"[앵커] 지난 자카르타 아시안게임에 용선 남북 단일팀으로 출전해  금메달과 동메달을 목에 걸었던 이예린, 이번 항저우 아시안게임에선  유일한 여자 카누 국가대표로 나서는데요. 또 한 번의 새로운 도전을 선택한 이예린을 허솔지 기자가 만나봤습니다. [리포트] 12인승 카누 용선 남북 단일팀의 배가  가장 먼저 결승선을 통과합니다. 반짝이던 금메달의 감동과 시상대 가장 높은 곳에서 듣던 아리랑까지 2018년 이예린은 당시 19살이었습니다. [이예린/지난 2018년 용선 단일팀 당시 : ""하나라는 것을 잘 보여준 것 같아서 그게 더 큰 의미가 있는 것 같습니다.""] 카약 선수로 지원해 당시 급조된 단일팀 용선 종목에 출전했던 이예린은 이후 1인승 카누 선수로 변신했습니다. [이예린/카누 국가대표  : ""여기가 '무릎받이'인데, 여기다 무릎을 꿇고 한쪽으로만 노를 젓는 거예요. (카약은 노를 양쪽으로 젓고 보통 여기 허리까지 다 덮여있는 거고요?) 네!""] [이예린/카누 국가대표  : ""(카누처럼 타는) 드래곤보트를 하고 재밌어서, 북한 지도자 선생님이 저한테 '카누 하면 잘할 것 같다' 이런 얘기를 해준 적 있거든요.""] 카약에서 용선을 거쳐 1인승 카누로, 새로운 도전을 선택한 이예린은 하루 6시간 이상 수상 훈련을 하고 있습니다. [이예린  : ""이제 1세트 끝났어요. (오후에 몇 세트를 하는 거예요?) 4세트요.""] 5년 전 단일팀을 함께 했던  북한 선수들과 재회할 가능성도 있는  이번 항저우 아시안게임, [이예린/카누 국가대표  : ""'저번에는 같이 했는데 이번엔 우리가 라이벌이 됐네?' 이러면서, 이런저런 얘기 많이 나누고 싶어요.""] 한국 여자 카누 사상 첫 아시안게임 메달이라는 목표를 향해 힘차게 노를 저어갑니다. [""사람들이 '카누' 하면 커피를 처음 떠올리잖아요. '카누' 하면 이예린!  떠올리는 그 날까지 열심히 하겠습니다.""] KBS 뉴스 허솔지입니다. 촬영기자:이상원/영상편집:김태형■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!"
009;0005186935;"‘21;9→27:30’ 김하은 뼈아픈 역전패…이신영-니시모토 세계女3쿠션선수권 결승 대결";앙카라 제11회 세계여자3쿠션선수권 4강김하은, 日 니시모토에 12점 앞서다 역전패이신영, 미리암 프루임에 30:13 완승밤 10시 결승전…아프리카TV 온라인 생중계 제11회 세계여자3쿠션선수권 결승에서 대결할 이신영(왼쪽)과 니시모토 유코. (사진=파이브앤식스)너무나 아쉬운 한판이다. 김하은이 21:9 더블스코어 이상으...;https://imgnews.pstatic.net/image/thumb154/009/2023/09/14/5186935.jpg;2023-09-14T21:28:01;앙카라 제11회 세계여자3쿠션선수권 4강김하은, 日 니시모토에 12점 앞서다 역전패이신영, 미리암 프루임에 30:13 완승밤 10시 결승전…아프리카TV 온라인 생중계 제11회 세계여자3쿠션선수권 결승에서 대결할 이신영(왼쪽)과 니시모토 유코. (사진=파이브앤식스)너무나 아쉬운 한판이다. 김하은이 21:9 더블스코어 이상으로 앞서가다 일본의 니시모토에게 막판 역전패, 결승 진출에 실패했다. 이에 따라 세계3쿠션선수권 사상 최초로 한국선수끼리 결승에서 만나는 ‘꿈의 대결’도 무산됐다.14일 튀르키예 앙카라에서 열린 제11회 세계여자3쿠션선수권 준결승전에서 국내1위 김하은(서울당구연맹)은 일본의 니시모토 유코(세계5위)에게 27:30(38이닝)으로 역전패했다. 앞서 열린 또다른 4강전에선 국내2위 이신영(충남당구연맹)이 네덜란드의 미리암 프루임(세계21위)을 30:13(45이닝)로 물리치고 결승에 올랐다.이신영은 한국여자3쿠션 사상 최초로 세계선수권 우승에 도전한다. 그 동안 한국은 준우승 세 차례(2016, 17 이미래, 2022 한지은)가 최고성적이다.밤 10시에 열리는 결승전은 이신영 대 니시모토 대결로 치러지며 아프리카TV가 온라인으로 생중계한다.◆21:9→27:30 김하은, 니시모토에 뼈아픈 역전패…韓 선수끼리 결승대결 무산김하은과 니시노코의 4강전. ‘후공’ 김하은의 공격이 중반부터 폭발, 일방적으로 니시모토를 몰아붙였다. 7이닝까지 8:8로 맞선 가운데 김하은은 10이닝 하이런5점에 이어 16이닝에 두 번째 하이런6점을 터뜨려 단숨에 21:9, 12점차로 크게 앞서갔다. 이런 흐름은 19이닝(23:12)까지 계속됐다.이에 따라 이미 결승에 선착한 이신영과 김하은의 파이널 승부가 거의 확정적이어서 한국당구 사상 최초로 세계선수권 결승에서 한국선수끼리 만나는 그림이 그려졌다.그러나 이때부터 김하은이 갑자기 난조에 빠졌다. 까다로운 배치도 있었지만, 평이한 배치에서도 실수가 나왔다. 6이닝(20~25)연속 공타가 나왔다. 세계선수권에서 준우승을 두 번이나 차지한 니시모토는 이 틈을 놓치지 않고 추격했다. 21이닝 점, 24~25이닝 3점으로 단숨에 5점차(23:18)까지 좁혀왔다.이신영이 26이닝에 2득점하며 한숨을 돌리는가 했으나, 4이닝(27~30) 연속에 빠졌다. 김하은은 다시 31이닝에 2점을 보태며 점수차를 7점(27:20)으로 확대했다. 그러나 이게 김하은의 마지막 득점이 될줄이야.기세가 오른 니시모토는 32이닝 2점, 33이닝 3점으로 25:27까지 쫓아왔다. 김하은의 두 번째 6이닝(32~37)연속 공타가 나온 다음 마지막 38이닝. 니시모토의 끝내기 하이런5점이 터지며 그대로 경기가 끝났다. 30:27 니시모토 승.예선에서 클롬펜하우어를 제압한 김하은은 4강전 초중반만해도 애버리지 1점대 고감도 공격을 선보였다. 그러나 종반전에 갑자기 컨디션 난조로 세 번의 연속공타(6-4-6)에 빠지며 개인 첫 세계선수권 결승 진출에 실패했다.◆이신영 22이닝에 15:5, 일찌감치 승세 굳혀…30:13 승이신영과 미리암의 4강전은 잦은 공타로 장기전으로 치러졌다. 앞서 이신영-클롬펜하우어 8강전과 같은 긴장감은 없어보였다. 이러한 경향은 중반전 이후 어느 정도 점수차가 고착하면서 더욱 두드러졌다.출발은 미리암이 좋았다. ‘선공’이신영이 초구를 놓치자 1이닝 2점, 3이닝 1점으로 3:0으로 앞서갔다. 그러나 미리암이 꽤 긴 이닝동안 공타하는 사이 이신영이 4, 6, 7이닝에 1점씩 올리며 균형(3:3)을 맞추었다. 10이닝 6:4에서 미리암이 또 공타에 빠졌고, 이신영은 공격이 풀리지 않은 가운데서도 4점을 추가, 20이닝에 10:5로 리그했다.이어 이신영이 22이닝에 하이런5점으로 15:5를 만들면서 승기를 잡았다. 점수차가 세 배로 벌어지면서 경기는 다소 루즈하게 진행돼 30이닝째 스코어는 18:10이었다. 이신영은 이후 32~33이닝 3득점에 이어 꾸준히 단타공격을 성공시켜 30:15(45이닝)로 경기를 마쳤다. 아울러 자신의 세계선수권 최고기록(2014년 3위)을 갱신하며 결승에 진출하게 됐다. [황국성 MK빌리어드뉴스 기자]
469;0000760637;목포서 전국체육대회, 18개국 해외동포 1300여명 참가;제104회 전국체육대회 포스터오는 10월 13일 전남 목포에서 개최되는 제104회 전국체전에 18개국 1,316명의 해외동포 선수단이 참가한다.14일 전남도와 전남체육회에 따르면 104회 전국체전에 가장 많은 선수단을 파견하는 국가는 미국으로 선수와 임원 128명이 참가한다. 이어 필리핀 124명, 인도네시아 115명,...;https://imgnews.pstatic.net/image/thumb154/469/2023/09/14/760637.jpg;2023-09-14T21:19:02;"10월 13일 목포종합경기장서 개막차량 1,736대 지원, 장학금도 지급제104회 전국체육대회 포스터오는 10월 13일 전남 목포에서 개최되는 제104회 전국체전에 18개국 1,316명의 해외동포 선수단이 참가한다.14일 전남도와 전남체육회에 따르면 104회 전국체전에 가장 많은 선수단을 파견하는 국가는 미국으로 선수와 임원 128명이 참가한다. 이어 필리핀 124명, 인도네시아 115명, 홍콩 110명, 일본 106명 등 18개국 총 1,316명이다.해외동포 선수단 규모는 지난 2019년 서울대회(18개국 1,868명)와 2014년 제주대회(17개국 1,614명)에 이어 최근 10년간 전국체전 3번째로 큰 규모다.전남도는 고국을 찾은 해외동포선수단 편의 지원을 위해 국가별 지원전담반을 구성해 입국부터 출국 때까지 원스톱서비스를 제공할 예정이다. 편리한 이동을 위해 전세버스와 렌터카 등 차량 1,736대를 지원한다. 또 고국 방문을 환영하고 선수단을 격려하기 위해 다음달 16일 김영록 전남지사 주재 환영 만찬을 마련해 선수단에 고국의 정도 가득 안겨줄 계획이다.특히 도는 해외동포선수단은 다문화가정과 유망선수 등에게 소정의 장학금을 전달한다. 필리핀은 다문화가정 자녀 36명에게 장학금 1,800만 원을, 미국은 장학금 200만 원(2명), 독일 1명에게 장학금 140만 원, 호주는 후원금 100만 원(1명)을 전달한다.올해 전국체전은 오는 10월 13일부터 19일까지 주 개최지인 목포를 비롯한 도내 22개 시·군 70개 경기장에서 49개 종목이 분산 개최된다. 또한 제43회 전국장애인체전은 11월 3일부터 8일까지 도내 11개 시·군 38개 경기장에서 31개 종목으로 열린다.송진호 전남체육회장은 ""올해 대회가 신종 코로나바이러스 감염증(코로나19) 일상 회복 이후 열리는 만큼, 4만여 명의 선수와 임원이 전남을 방문할 것으로 예상하고 있다""면서 ""대회 준비를 완벽하게 마치고 전남을 방문한 모든 체육인과 관광객 맞이에 온 힘을 다하고 있다""고 말했다."
