url;title;content
['109', '0004939591'];[사진]동메달 고승환,'최후의 질주';[OSEN=항저우(중국), 김성락 기자] 3일 오후 중국 항저우 올림픽 스포츠센터에서 열린 '2022 항저우 아시안게임' 남자 400ｍ 계주 결승전에서 대한민국 대표팀이 37년 만의 한국 신기록 타이기록 작성하며 동메달을 땄다. 대한민국 고승환이 이재성에게 배턴을 받아 결승선을 향해 질주하고 있다. 2023.10.03 / ksl0919@osen.co.kr
['109', '0004939590'];[사진]남자 400m 계주,'이 순간이 행복해';[OSEN=항저우(중국), 김성락 기자] 3일 오후 중국 항저우 올림픽 스포츠센터에서 열린 '2022 항저우 아시안게임' 남자 400ｍ 계주 결승전에서 대한민국 대표팀이 37년 만의 한국 신기록 타이기록 작성하며 동메달을 땄다. 경기 종료 후 대한민국 선수들이 메달과 함께 기념촬영을 하고 있다. 2023.10.03 / ksl0919@osen.co.kr
['109', '0004939589'];[사진]남자 400m 계주,'결승선 향해 질주하는 한중일';[OSEN=항저우(중국), 김성락 기자] 3일 오후 중국 항저우 올림픽 스포츠센터에서 열린 '2022 항저우 아시안게임' 남자 400ｍ 계주 결승전에서 대한민국 대표팀이 37년 만의 한국 신기록 타이기록 작성하며 동메달을 땄다. 대한민국 고승환이 이재성에게 배턴을 받아 결승선을 향해 질주하고 있다. 2023.10.03 / ksl0919@osen.co.kr
['109', '0004939588'];[사진]이재성,'고승환 가는거야!';[OSEN=항저우(중국), 김성락 기자] 3일 오후 중국 항저우 올림픽 스포츠센터에서 열린 '2022 항저우 아시안게임' 남자 400ｍ 계주 결승전에서 대한민국 대표팀이 37년 만의 한국 신기록 타이기록 작성하며 동메달을 땄다. 대한민국 고승환이 이재성에게 배턴을 받아 결승선을 향해 질주하고 있다. 2023.10.03 / ksl0919@osen.co.kr
['109', '0004939587'];[사진]고승환-이재성,'마지막 결승선을 향해 질주한다';[OSEN=항저우(중국), 김성락 기자] 3일 오후 중국 항저우 올림픽 스포츠센터에서 열린 '2022 항저우 아시안게임' 남자 400ｍ 계주 결승전에서 대한민국 대표팀이 37년 만의 한국 신기록 타이기록 작성하며 동메달을 땄다. 대한민국 고승환이 이재성에게 배턴을 받아 결승선을 향해 질주하고 있다. 2023.10.03 / ksl0919@osen.co.kr
['421', '0007086057'];값진 메달 소식을 전합니다;(항저우(중국)=뉴스1) 신웅수 기자 = 고승환(왼쪽부터), 이재성, 김국영, 이정태가 3일 중국 항저우 올림픽 스포츠센터 경기장에서 열린 2022 항저우 아시안게임 육상 남자 400m 계주 메달 수여식에서 관중들에게 손을 흔들고 있다.육상대표팀은 38초74로 3위를 차지하며 남자 400m 계주에서 37년 만에 아시안게임 메달을 따냈다. 2023.10.3/뉴스1
['052', '0001942783'];[영상] 대한민국, 멈추지 않는 메달행진!;[영상] 대한민국, 멈추지 않는 메달행진!※ '당신의 제보가 뉴스가 됩니다'[카카오톡] YTN 검색해 채널 추가[전화] 02-398-8585[메일] social@ytn.co.kr
['421', '0007086056'];이 기념 촬영을 다시 하는데 걸린 시간 37년;(항저우(중국)=뉴스1) 신웅수 기자 = 고승환, 이재성, 김국영, 이정태가 3일 중국 항저우 올림픽 스포츠센터 경기장에서 열린 2022 항저우 아시안게임 육상 남자 400m 계주 메달 수여식에서 동메달을 목에 걸고 기념 촬영을 하고 있다.육상대표팀은 38초74로 3위를 차지하며 남자 400m 계주에서 37년 만에 아시안게임 메달을 따냈다. 2023.10.3/뉴스1
['421', '0007086055'];손잡고 단상 오르는 400m 계주팀;(항저우(중국)=뉴스1) 신웅수 기자 = 고승환(왼쪽부터), 이재성, 김국영, 이정태가 3일 중국 항저우 올림픽 스포츠센터 경기장에서 열린 2022 항저우 아시안게임 육상 남자 400m 계주 메달 수여식에서 손을 잡고 단상에 오르고 있다.육상대표팀은 38초74로 3위를 차지하며 남자 400m 계주에서 37년 만에 아시안게임 메달을 따냈다. 2023.10.3/뉴스1
['144', '0000916265'];개인전 아쉬움 지운 신진서 “다같이 금메달 받는 단체전이 더 좋아” 13년 만의 바둑 금메달;2022 항저우 아시안게임 남자 바둑 단체전에서 우승한 선수들. 항저우|이정호 기자“팀원들과 다같이 금메달을 따낼 수 있어 기쁘다. (놓친)개인전 금메달이 더 영예로울 수 있지만 다같이 함께하는 단체전이 더 좋다고 생각이 든다.”신진서 9단은 2022 항저우 아시안게임 남자 바둑 단체전에서 금메달을 따낸 뒤 믹스트존에서 차분한 목소리로 이렇게 말했다. 남자 바둑 2관왕 후보로 압도적인 기량을 펼치던 그는 개인전(동메달)에서 놓친 금메달의 아쉬움도 훌훌 날렸다.한국 남자 바둑이 2022 항저우 아시안게임 단체전에서 금메달을 땄다.대표팀은 3일 중국 저장성 항저우 중국기원 분원에서 열린 바둑 남자단체 결승전에서 중국을 4-1로 꺾고, 13년 만에 정식 종목으로 복귀한 아시안게임 바둑에서 정상을 지켰다.바둑은 2010년 광저우 대회에서 처음 정식 종목으로 채택됐고, 당시 한국이 남녀 단체전, 혼성 복식 등에서 금메달 3개를 가져왔다. 바둑은 2014년 인천, 2018년 자카르타·팔렘방 대회에서는 다시 정식 종목에서 빠졌다.5대5 동시 대국을 치르는 가운데 국내 랭킹 3위 변상일 9단이 리친청 9단(중국랭킹 16위)에게 흑을 잡고 295수 만에 7집 반 차로 완패하며 패전 소식이 먼저 전해졌다. 한국 바둑의 절대 1강 신진서가 분위기를 바꿨다. 신진서는 양딩신 9단(중국 3위)을 240수 만의 백 불계승으로 꺾어 1승1패 균형을 맞췄다.신진서는 믹스트존에서 “팀원들과 다같이 금메달을 따낼 수 있어 기쁘다. (놓친)개인전 금메달이 더 영예로울 수 있지만 다같이 함께하는 단체전이 더 좋다고 생각이 든다”면서 “개인전에서 아쉬움이 크게 남지만 첫 아시안게임에서 기쁨도 있고 후련하다”고 말했다. 이날 유일한 패배를 기록한 변상일이 고개를 들지 못한채 “팀원들한테 미안하다고 전하고 싶다”고 하자 동료들이 다독이면서 웃기도 했다.마지막 승리를 확정한 국내 5위 김명훈 9단이 “결과를 알수 없어 승부판이라고 생각했다. 끝나고 나서 결과를 확인해보니 다행이 우리가 이겨서 다행”이라며 “마지막까지 최선을 다하는 데 집중했다”고 했다. 이날 경기에 나서지 않은 이지현 9단은 “개인적으로 컨디션이 안좋아 팀원들한테 좋지 않을가 걱정했다. 좋은 내용으로 승리해서 동료들에게 고맙다고 얘기하고 싶다. 엄청 기쁘다”며 웃었다.항저우 | 이정호 기자 alpha@kyunghyang.com
